gene_name	D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M1234_CD451_CX3CR6Neg_S28	D30_M1234_CD451_Slamf6_S26	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35	D30_M567_CD451_CX3CR6Neg_S34	D30_M567_CD451_Slamf6_S32
Dcaf6	101	161	148	172	175	145	70	299
Dcaf7	1854	2232	2108	1944	3244	1066	1486	2340
Dcaf8	1672	3396	2139	1964	66	1214	506	3047
Dcakd	168	204	293	64	163	105	138	159
Dcbld1	3	8	8	3	2	2	6	6
Dcbld2	113	188	157	71	234	118	133	94
Dcc	0	2	1	0	0	0	0	0
Dcdc2a	3	6	4	6	0	1	0	1
Dcdc2b	25	27	0	0	0	0	0	38
Dcdc2c	33	58	23	45	43	17	26	86
Dcdc5	0	0	6	3	0	0	0	1
Dchs2	1	0	2	0	0	1	0	3
Dck	711	1018	372	548	3	626	29	1059
Dclk1	4	50	6	79	2	1	2	0
Dclk2	506	41	297	38	0	6	243	25
Dclre1a	174	190	220	58	0	28	103	211
Dclre1b	434	320	390	211	0	236	312	476
Dclre1c	521	437	566	284	15	49	51	404
Dcn	3	5	5	0	0	0	2	6
Dcp1a	599	951	811	497	6	379	348	899
Dcp1b	631	675	719	384	2	227	431	663
Dcp2	170	202	289	366	17	102	218	148
Dcps	764	930	495	491	538	525	868	871
Dcst1	22	20	83	17	3	5	61	14
Dct	42	71	41	34	107	31	18	87
Dctd	11	112	2	95	1	58	1	82
Dctn1	1055	1177	1019	760	493	542	343	1040
Dctn2	821	1028	1140	1059	293	538	1146	1449
Dctn3	937	1189	1192	689	1367	644	1025	1387
Dctn4	1882	1754	1443	1246	1048	867	1758	2874
Dctn5	1553	2059	1573	1329	2759	1046	1979	2534
Dctn6	1371	1321	1076	632	1850	396	839	1706
Dctpp1	138	145	249	76	1	105	116	151
Dcun1d1	765	795	1255	639	19	537	588	839
Dcun1d2	401	710	424	458	4	456	230	1098
Dcun1d3	148	50	220	67	1	35	155	50
Dcun1d4	703	436	348	399	1	196	95	366
Dcun1d5	189	171	110	150	588	341	282	203
Dcx	27	48	12	32	6	21	8	44
Dcxr	136	173	272	0	1	83	369	112
Dda1	2167	2523	1947	1521	1733	1037	1886	2604
Ddah2	14	8	0	80	0	0	5	44
Ddb1	2434	3398	1417	2059	3931	714	378	2813
Ddb2	562	1078	991	735	1427	251	396	1145
Ddc	22	20	24	20	0	9	14	23
Ddhd1	457	660	352	355	14	295	114	609
Ddhd2	2166	2985	2245	1890	1551	1237	2717	3555
Ddi1	1	0	0	3	0	0	4	0
Ddi2	1263	1215	1411	894	1126	455	771	1214
Ddias	216	101	2	27	0	113	0	45
Ddit3	539	725	741	547	1179	148	614	629
Ddit4	26	143	17	61	1	48	23	209
Ddo	2	7	6	5	0	0	14	3
Ddost	4437	5127	3436	3007	2194	2557	3538	6268
Ddr1	10	4	0	43	0	2	0	44
Ddr2	1	17	70	7	32	1	2	2
Ddrgk1	1136	1466	1564	1036	699	653	1697	2014
Ddt	164	207	137	126	1	63	39	283
Ddx1	1700	1993	850	1609	543	627	925	2247
Ddx10	640	878	784	612	719	551	93	785
Ddx11	1061	1184	938	461	742	552	34	1012
Ddx17	886	785	945	900	202	618	870	900
Ddx18	762	1308	1025	942	2	318	436	1725
Ddx19a	43	58	27	81	19	66	46	22
Ddx19b	438	666	286	614	1	225	301	646
Ddx20	689	896	1033	449	32	461	278	1248
Ddx21	1406	1474	966	1024	250	557	272	1583
Ddx23	88	122	265	104	20	127	186	123
Ddx24	4863	8434	4333	4091	4330	2757	1516	8870
Ddx27	1527	1425	1049	993	7	893	765	2225
Ddx28	1049	200	626	254	1915	197	1309	407
Ddx31	336	538	496	438	1	374	182	714
Ddx39a	2920	3402	3275	1332	5424	1755	2850	3831
Ddx39b	2494	3705	2138	3060	5901	2125	3731	5681
Ddx3x	1619	2956	1956	1375	4635	864	476	2141
Ddx3y	8	5	14	7	9	5	11	17
Ddx41	2095	2642	1658	1509	3155	1365	862	3388
Ddx42	2574	2702	2654	1538	3025	901	188	3270
Ddx43	166	67	172	98	66	39	71	123
Ddx46	1355	1305	1128	1222	1289	723	357	1470
Ddx47	1564	2345	2179	1116	1155	500	1180	2519
Ddx49	460	637	552	436	4	272	213	732
Ddx5	28887	41814	27633	36318	33204	15322	10144	38031
Ddx50	1350	1210	1236	1067	1265	1237	653	1268
Ddx51	104	332	168	10	2	72	129	71
Ddx52	1205	1185	1370	1041	906	850	807	1761
Ddx54	1623	1756	1410	1386	936	1028	1004	2301
Ddx55	298	481	453	242	1486	289	372	490
Ddx56	749	1164	610	881	1	485	241	1489
Ddx59	178	395	247	216	0	78	303	442
Ddx6	827	1230	733	1040	536	563	923	1510
Ddx60	261	1171	332	621	1	713	34	1049
Deaf1	888	1122	275	460	506	381	484	1113
Decr1	265	789	256	508	1	276	264	565
Decr2	374	285	609	469	45	224	215	477
Dedd	772	865	302	517	263	521	446	1187
Dedd2	1043	1207	1257	510	978	853	1139	1457
Def6	3656	3198	4190	3007	4876	1258	2875	4003
Def8	271	540	377	410	119	13	50	349
Defb42	6	7	10	1	38	9	11	3
Defb45	0	0	1	0	0	0	1	0
Degs1	1986	2046	1493	880	2555	1050	1819	2235
Degs2	38	66	8	12	0	22	0	56
Dek	1828	1473	1845	1634	3415	946	934	1648
Dele1	613	484	647	562	1028	265	608	704
Dennd10	614	907	522	727	2344	454	456	918
Dennd11	28	183	23	84	0	118	36	93
Dennd1a	238	399	289	262	1677	47	211	363
Dennd1b	754	540	703	364	258	369	586	506
Dennd1c	3193	4179	4154	2846	9784	1584	2977	5242
Dennd2a	96	87	137	93	142	84	90	112
Dennd2b	26	11	9	2	0	8	17	19
Dennd2c	13	16	48	17	4	16	22	6
Dennd2d	2910	6224	3285	3769	3996	3273	2044	7649
Dennd3	92	30	2	161	0	47	246	114
Dennd4a	846	883	995	900	170	331	140	572
Dennd4b	591	797	612	704	105	438	417	937
Dennd4c	202	601	260	359	0	241	104	360
Dennd5a	638	93	307	207	18	10	239	57
Dennd5b	48	47	62	24	322	39	20	94
Dennd6a	152	131	58	24	1466	308	59	116
Dennd6b	231	642	266	454	249	212	402	754
Denr	925	1113	1117	997	2093	548	1079	1510
Depdc1a	75	7	0	0	0	33	3	27
Depdc1b	7	2	0	0	0	0	0	0
Depdc5	336	513	388	332	249	368	4	442
Depp1	0	1	0	2	0	0	0	1
Deptor	21	44	26	27	37	3	16	27
Dera	623	786	470	487	0	638	361	1284
Derl1	1804	2381	2277	2182	52	912	1521	2467
Derl2	1398	1541	1286	1088	365	919	1503	2145
Derl3	31	0	2	0	0	3	0	0
Derpc	183	125	152	0	0	139	32	68
Desi1	625	486	583	404	87	210	537	674
Desi2	321	429	204	356	33	165	337	608
Det1	132	185	157	118	306	95	77	341
Deup1	3	7	6	7	0	0	12	6
Dexi	21	81	25	3	355	1	50	25
Dffa	224	296	198	156	5	176	128	232
Dffb	291	353	275	182	1220	314	176	299
Dgat1	1645	1197	1237	1013	1278	304	944	1313
Dgat2	1	6	0	0	0	0	0	6
Dgat2l6	36	49	25	8	4	18	32	50
Dgcr2	1567	1520	1521	1338	86	935	554	1963
Dgcr6	77	134	148	62	574	58	1	209
Dgcr8	884	545	887	441	397	411	41	597
Dgka	3405	10386	3700	7906	1024	3427	1806	10731
Dgkd	1433	1423	1963	853	1714	350	319	813
Dgke	459	541	710	456	1338	32	55	539
Dgkg	92	26	24	7	32	7	3	11
Dgkh	430	235	321	134	921	60	205	364
Dgki	0	1	12	0	0	7	0	15
Dgkq	95	321	230	264	481	71	170	176
Dgkz	1061	1702	1994	982	2000	447	849	2194
Dglucy	65	102	45	142	1	0	12	234
Dguok	1130	2770	1133	1370	3061	1143	1378	2830
Dhcr24	15	25	5	11	0	1	10	31
Dhcr7	323	352	482	380	92	403	117	463
Dhdds	516	601	478	383	242	370	386	829
Dhdh	80	117	82	141	90	42	37	202
Dhfr	171	198	28	185	1206	104	263	162
Dhh	2	2	2	0	0	0	0	4
Dhodh	381	624	61	161	208	312	71	483
Dhps	562	674	279	421	475	375	566	739
Dhrs1	260	316	604	100	0	179	320	300
Dhrs11	103	139	104	4	0	75	36	151
Dhrs13	50	33	0	13	1	0	21	41
Dhrs3	0	320	3	239	0	275	0	348
Dhrs4	120	170	198	110	607	82	157	226
Dhrs7	1465	1069	900	988	3	622	1691	1318
Dhrs7b	324	328	413	235	1097	110	276	377
Dhrs7l	4	18	18	22	0	4	10	6
Dhrs9	11	16	7	10	9	0	12	16
Dhtkd1	163	253	174	189	249	84	84	293
Dhx15	1829	2363	1480	1092	722	1035	198	2265
Dhx16	872	1645	619	945	1838	557	646	1326
Dhx29	517	599	822	458	914	144	152	691
Dhx30	1223	1906	1398	1333	1813	574	577	2190
Dhx32	394	346	324	177	0	85	170	543
Dhx33	269	401	201	87	64	229	261	319
Dhx34	475	693	355	239	687	424	46	733
Dhx35	280	413	411	88	126	149	159	383
Dhx36	387	444	638	357	447	105	81	378
Dhx37	318	426	237	286	1276	198	28	271
Dhx38	1124	1158	955	479	1	299	193	867
Dhx40	375	481	515	217	4	145	50	389
Dhx57	459	599	777	533	2	52	401	704
Dhx58	827	2663	1119	1433	3074	750	832	2341
Dhx8	1053	1438	875	886	2054	740	63	1785
Dhx9	214	234	286	218	71	180	109	282
Diablo	1429	1821	1298	960	2108	1152	1190	2473
Diaph1	966	905	982	208	1980	248	735	878
Diaph2	46	94	57	115	20	67	24	148
Diaph3	37	17	24	21	1	6	0	40
Dicer1	587	708	663	354	20	437	151	813
Dido1	786	853	1531	627	1650	697	517	1290
Dimt1	338	512	337	273	449	119	286	477
Dio2	5	5	59	40	0	0	5	0
Dip2a	41	19	141	39	94	3	0	5
Dip2b	703	632	996	843	1352	250	270	823
Dip2c	0	26	0	0	0	20	0	21
Dipk1a	474	1042	194	452	395	971	0	1480
Dipk1b	0	42	43	46	0	52	177	77
Dipk1c	1	1	1	3	0	0	0	0
Dipk2a	90	43	61	53	0	211	29	130
Diras2	1	4	16	0	1	0	4	0
Dis3	363	453	466	174	1	75	209	463
Dis3l	381	657	646	529	2	236	175	524
Dis3l2	578	614	525	384	0	336	93	645
Disc1	118	141	167	139	0	13	19	253
Disp1	359	431	296	413	1529	156	637	505
Disp2	2	3	5	0	0	2	0	0
Disp3	1	0	1	0	0	0	0	0
Dixdc1	28	12	0	10	0	2	4	9
Dkc1	785	1905	457	880	2767	1245	45	1568
Dkk1	13	22	18	3	20	21	5	19
Dkk2	12	0	3	18	1	8	4	7
Dkk3	1	160	0	240	1	52	0	184
Dkkl1	29	3	67	29	0	0	88	28
Dlat	353	497	297	277	88	383	75	609
Dlc1	9	17	23	20	1	5	22	67
Dld	945	833	910	530	1408	295	377	1336
Dlec1	6	8	5	4	2	2	6	1
Dlg1	581	599	598	439	589	387	218	574
Dlg2	26	78	1	100	2	20	4	77
Dlg3	11	22	13	0	0	5	12	2
Dlg4	620	1155	509	589	994	658	777	1126
Dlgap1	1	12	2	8	1	3	2	22
Dlgap4	1064	1142	1052	658	2236	639	1149	1447
Dlgap5	304	160	282	156	1723	168	139	182
Dlk2	0	17	0	1	0	0	0	28
Dll1	0	77	2	0	0	0	121	40
Dll3	7	6	10	4	10	3	1	3
Dlst	966	1519	842	1032	3890	832	844	1199
Dlx1	8	9	5	8	3	8	7	0
Dlx6	13	25	18	7	50	9	11	20
Dmac1	256	306	259	130	553	116	192	452
Dmac2	296	479	522	261	0	249	114	306
Dmac2l	236	106	58	103	485	42	71	293
Dmap1	608	802	448	407	0	403	481	562
Dmbx1	4	1	2	1	0	1	6	3
Dmd	10	12	51	8	16	6	9	22
Dmgdh	4	0	3	4	4	2	2	8
Dmp1	0	0	0	1	0	0	0	1
Dmpk	0	1	0	1	0	0	0	5
Dmrt2	19	14	0	0	0	0	0	0
Dmrta1	21	74	17	35	39	3	14	15
Dmrta2	0	2	2	0	0	0	0	1
Dmtf1	1274	1724	1449	1741	1	549	627	2068
Dmtf1l	0	3	4	4	72	0	0	0
Dmtn	42	44	132	39	70	35	51	64
Dmxl1	91	168	89	61	22	72	159	209
Dmxl2	16	12	2	2	1	1	0	137
Dna2	158	102	16	11	838	64	10	24
Dnaaf10	382	567	271	190	0	255	444	312
Dnaaf11	4	1	0	3	0	0	0	0
Dnaaf2	256	208	196	236	310	167	159	369
Dnaaf3	0	0	0	10	0	0	0	3
Dnaaf4	21	26	0	23	0	0	0	19
Dnaaf5	323	304	555	163	80	155	160	375
Dnaaf8	4	17	0	0	0	45	0	17
Dnaaf9	520	423	307	100	387	89	115	411
Dnah1	0	0	73	5	1	0	0	1
Dnah10	11	7	12	35	6	11	0	7
Dnah11	2	72	187	10	0	0	0	159
Dnah14	49	48	33	38	49	13	41	48
Dnah17	12	65	56	33	84	36	19	23
Dnah2	0	0	1	12	0	0	0	0
Dnah7a	2	0	5	1	0	0	0	1
Dnah7b	28	23	31	37	1	3	1	16
Dnah8	306	543	202	407	243	45	279	444
Dnah9	0	0	11	4	0	0	0	11
Dnai4	19	89	1	27	0	69	0	47
Dnai7	3	65	10	7	17	1	25	0
Dnaja1	11420	15989	8960	11197	9735	7741	10067	17365
Dnaja2	2476	2408	2309	1722	3045	1154	2598	2788
Dnaja3	613	1437	810	696	2415	580	434	1625
Dnaja4	143	229	259	123	0	119	44	415
Dnajb1	4962	7066	4548	3718	8556	3599	7254	8946
Dnajb11	4764	3109	3646	2504	4237	2483	4270	4066
Dnajb12	188	357	340	117	388	45	131	277
Dnajb13	148	241	135	362	0	64	393	295
