gene_name	D30_M1234_CD4512_CX3CR6Neg_S31	D30_M1234_CD4512_Slamf6_S29	D30_M1234_CD451_CX3CR6Neg_S28	D30_M1234_CD451_Slamf6_S26	D30_M567_CD4512_CX3CR6Neg_S24	D30_M567_CD4512_Slamf6_S35	D30_M567_CD451_CX3CR6Neg_S34	D30_M567_CD451_Slamf6_S32
Or4a67	0	1	2	2	1	2	0	0
Or4a68	0	0	0	4	0	0	0	3
Or4a72	68	157	38	81	156	69	108	251
Or4a73	21	22	17	18	15	6	6	18
Or4a74	114	122	118	94	63	39	44	62
Or4a77	26	47	45	35	89	20	21	46
Or4a81	15	23	17	13	31	16	18	23
Or4b12	11	20	23	10	6	5	8	11
Or4b13	0	2	0	0	0	0	0	2
Or4b1c	2	2	6	3	1	0	0	2
Or4c10	4	0	3	6	0	2	0	4
Or4c100	1	3	0	1	0	0	5	4
Or4c103	56	98	71	83	140	37	57	66
Or4c104	1	0	0	1	0	0	0	0
Or4c105	9	31	12	13	20	17	10	36
Or4c106	9	7	7	5	2	2	1	10
Or4c108	7	7	5	3	1	2	12	7
Or4c10b	3	1	3	8	0	0	0	0
Or4c110	2	3	0	0	0	0	1	1
Or4c111	3	7	7	4	6	1	6	11
Or4c112	9	16	29	18	0	12	2	36
Or4c113	3	5	6	20	15	2	14	5
Or4c114	6	10	5	7	4	1	3	19
Or4c115	48	66	44	22	18	9	16	40
Or4c116	15	9	30	13	60	9	6	19
Or4c117	0	2	0	0	0	3	0	2
Or4c119	3	3	0	0	0	3	1	1
Or4c11c	12	6	15	13	1	2	10	14
Or4c12	0	0	1	0	0	1	0	0
Or4c121	22	20	5	12	24	7	13	15
Or4c122	0	1	6	2	0	0	3	1
Or4c125	23	41	24	17	12	10	16	40
Or4c126	14	17	17	7	13	3	0	13
Or4c127	7	18	11	19	5	6	3	6
Or4c15	1	0	0	0	0	0	0	1
Or4c29	2	8	5	7	5	2	3	9
Or4c3	1	0	3	1	0	1	1	0
Or4c31	53	73	54	54	48	37	48	91
Or4c35	46	61	48	39	78	20	3	45
Or4c3d	7	0	1	0	0	1	0	0
Or4c52	14	14	8	14	3	7	9	6
Or4c58	3	0	0	2	0	0	0	0
Or4d10c	0	2	4	2	0	0	3	1
Or4d11	16	23	12	16	21	13	13	26
Or4d2	0	1	0	1	0	0	0	0
Or4d2b	4	4	5	1	0	1	3	11
Or4d5	18	41	22	17	10	7	26	78
Or4e5	38	42	26	17	81	26	19	66
Or4f14b	366	582	431	469	510	286	264	629
Or4f14c	0	13	5	0	0	2	7	4
Or4f14d	18	21	9	18	1	9	0	12
Or4f15	19	64	55	31	51	11	17	56
Or4f17	14	20	23	5	38	7	6	17
Or4f4	0	4	3	3	0	1	1	0
Or4f53	35	53	34	20	43	17	23	53
Or4f54	10	15	37	21	19	8	12	23
Or4f56	6	18	26	28	52	3	12	27
Or4f59	82	108	73	49	71	40	38	112
Or4f6	141	140	214	86	221	71	170	114
Or4f60	3	1	0	0	3	2	0	1
Or4f62	6	2	5	1	1	1	3	2
Or4f7	7	17	13	5	0	4	15	13
Or4g17	9	18	2	5	0	16	4	6
Or4k1	2	0	4	0	0	0	1	1
Or4k15	1	23	29	8	6	7	17	9
Or4k35	18	33	34	28	17	8	25	27
Or4k36	28	51	46	25	42	22	35	67
Or4k37	1	0	4	4	0	1	1	5
Or4k40	15	9	4	6	55	2	13	9
Or4k42	1	6	7	10	6	2	7	6
Or4k45	11	9	6	3	0	2	27	10
Or4k47	10	18	17	8	16	3	13	23
Or4k5	14	22	25	14	20	10	10	21
Or4k50	1	0	0	0	0	3	0	0
Or4k6	26	95	85	51	45	29	36	102
Or4m1	56	93	94	73	62	31	63	101
Or4n4	0	2	1	0	0	1	0	1
Or4n4b	3	5	12	3	2	8	7	7
Or4p20	0	0	1	0	0	0	0	1
Or4p23	17	36	32	40	4	18	24	29
Or4p4	49	87	42	53	104	32	20	89
Or4p7	47	66	67	67	49	39	33	65
Or4q3	79	94	116	101	96	31	71	105
Or4s2	52	67	78	71	61	37	48	97
Or4s2b	0	1	0	0	0	0	0	1
Or4x11	17	21	23	5	63	19	8	37
Or4x13	13	18	16	9	2	4	9	8
Or4x18	51	51	74	40	76	7	21	95
Or4x5	2	2	8	0	0	2	0	0
Or4x6	20	17	12	18	10	19	11	39
Or4z4	0	0	26	0	0	0	0	2
Or51a10	10	7	17	7	16	6	6	15
Or51a24	8	3	17	0	78	0	0	9
Or51a39	3	2	1	4	0	1	3	3
Or51a42	32	54	33	33	21	19	12	41
Or51a5	9	29	33	20	25	11	16	33
Or51a6	9	3	9	9	1	3	0	6
Or51ab3	20	7	22	2	21	13	11	12
Or51b17	2	9	12	7	2	2	1	6
Or51b4	116	115	99	54	75	58	122	140
Or51f1	10	6	17	3	0	1	1	4
Or51g1	11	5	10	6	1	3	9	5
Or51i2	3	0	5	1	0	0	0	4
Or51k1	147	150	245	133	66	51	79	144
Or51k2	148	88	141	100	19	46	88	126
Or51p1	69	76	31	25	52	42	45	65
Or51q1	275	342	385	289	303	204	147	348
Or51r1	0	0	0	0	0	1	0	2
Or51s1	4	10	18	12	4	6	4	14
Or51v14	30	34	47	19	30	18	30	23
Or51v8	266	270	249	204	221	136	143	248
Or52a20	25	26	32	11	39	10	3	15
Or52a24	12	17	16	18	1	4	5	7
Or52a33	11	2	6	3	0	1	1	4
Or52a5b	0	7	6	2	0	0	0	1
Or52ab2	10	15	21	11	10	3	10	12
Or52ac1	67	106	63	82	44	39	45	96
Or52ad1	32	42	34	50	73	31	20	42
Or52ae9	0	3	0	2	0	1	2	1
Or52b1	2	2	1	1	0	0	0	0
Or52b2	8	22	14	8	1	1	6	20
Or52b6	1	0	0	0	1	0	0	4
Or52d1	11	38	23	19	9	13	14	17
Or52d13	172	225	245	133	225	143	141	259
Or52d3	1	0	1	0	0	40	3	1
Or52e18	3	6	1	2	2	5	0	8
Or52e19	10	20	26	9	22	4	8	11
Or52e5	6	13	4	1	0	1	6	3
Or52e7	11	21	30	14	39	10	9	22
Or52e8	13	16	21	14	3	7	13	25
Or52e8b	12	23	22	11	1	15	23	23
Or52h1	595	525	496	437	571	335	447	944
Or52h7	4	7	6	4	1	6	4	7
Or52i2	0	0	2	1	0	0	0	0
Or52j3	3	3	6	1	14	0	0	0
Or52k2	56	94	110	77	40	28	24	77
Or52l1	1	0	0	3	0	1	0	2
Or52m1	1	1	2	2	4	2	3	0
Or52n2b	119	214	83	110	158	123	149	327
Or52n2c	1	2	3	2	0	4	0	4
Or52n4	5	8	0	0	1	2	0	1
Or52p1	28	46	29	42	85	33	55	47
Or52r1	2	3	2	3	0	1	0	0
Or52u1	19	15	16	5	40	3	8	7
Or52z1	0	2	0	2	0	0	0	0
Or55b10	30	44	80	41	79	8	14	43
Or55b3	0	2	0	0	1	0	0	6
Or56a3	0	8	23	1	0	0	0	0
Or56a3b	5	6	7	2	6	10	9	6
Or56a4	0	3	0	2	0	0	0	0
Or56b2	3	0	1	1	2	0	3	1
Or56b35	2	8	3	11	0	7	4	3
Or5a1	8	7	20	4	29	10	13	5
Or5a21	25	63	27	28	6	35	21	23
Or5a3	7	3	3	4	0	8	3	5
Or5ac19	0	0	1	0	0	0	0	2
Or5ac22	133	170	134	129	98	89	169	124
Or5ae2	0	4	3	1	15	0	3	3
Or5af2	1	2	0	2	0	4	0	1
Or5al5	8	18	35	17	11	9	11	16
Or5al7	5	5	0	3	35	6	2	4
Or5an1	8	5	1	11	0	3	0	14
Or5an1b	2	8	5	5	0	0	0	5
Or5an6	96	91	97	64	104	60	106	108
Or5an9	11	9	11	3	9	2	9	19
Or5ap2	0	3	2	1	1	1	0	5
Or5aq1	0	0	1	1	0	0	0	0
Or5aq6	9	8	14	9	14	8	7	12
Or5aq7	0	0	0	1	0	0	2	4
Or5ar1	1	1	4	0	0	0	0	0
Or5au1	2	2	11	1	1	0	0	1
Or5b102	0	7	0	0	0	3	0	2
Or5b104	2	0	1	2	0	0	0	1
Or5b106	43	39	33	38	171	23	9	41
Or5b113	1	1	0	3	1	32	1	1
Or5b116	7	7	9	8	0	6	0	9
Or5b12	1	0	2	1	0	0	1	0
Or5b120	0	3	15	0	1	0	0	1
Or5b122	34	33	47	24	33	10	18	34
Or5b123	12	25	21	23	30	11	33	20
Or5b124	45	72	74	52	56	30	40	54
Or5b125	4	0	2	1	0	0	2	0
Or5b21	2	2	0	0	0	0	0	25
Or5b3	0	2	0	2	0	2	1	0
Or5b94	0	0	0	0	0	0	1	1
Or5b95	0	4	4	1	0	0	0	2
Or5b99	3	4	2	2	0	1	10	5
Or5bb10	8	12	5	6	9	0	4	8
Or5bb12	8	5	12	9	0	1	1	5
Or5be3	3	6	0	2	4	1	0	7
Or5bh3	2	1	0	1	2	1	0	1
OR5BS1P	1	1	0	2	0	0	1	2
Or5d14	1	13	5	3	0	2	0	2
Or5d18	25	34	45	21	0	6	37	23
Or5d35	0	2	1	0	0	1	0	1
Or5d39	22	38	20	25	12	14	15	45
Or5d41	2	2	1	3	1	1	10	1
Or5d43	138	89	90	50	30	53	37	125
Or5d45	46	55	87	69	50	17	37	61
Or5g23	3	0	18	2	1	0	3	1
Or5g9	6	5	5	7	0	0	0	6
Or5h17	1	0	0	0	0	0	1	3
Or5h22	24	45	22	30	29	17	25	29
Or5i1	25	49	82	25	27	22	18	27
Or5j1	17	16	13	11	22	4	13	16
Or5k1	8	28	30	18	60	14	0	24
Or5k14	1	17	10	9	23	0	1	12
Or5k15	0	12	0	0	0	0	0	1
Or5k1b	0	1	0	1	0	1	0	0
Or5l13	86	118	49	33	206	52	56	100
Or5l14	9	6	10	23	0	3	19	8
Or5m10	15	13	11	5	12	1	4	2
Or5m11	14	16	6	7	4	2	8	14
Or5m11b	20	22	19	15	10	7	18	30
Or5m3b	323	721	340	671	112	181	227	705
Or5m9	0	2	0	0	0	3	0	0
Or5o1	3	0	6	8	3	0	8	0
Or5p4	8	10	13	7	6	6	6	16
Or5p52	109	149	85	113	199	35	42	101
Or5p56	0	3	8	5	21	4	4	3
Or5p6	1	2	2	0	1	2	1	7
Or5p60	21	13	28	24	13	13	3	41
Or5p63	2	2	3	4	1	1	1	2
Or5p64	9	11	10	5	1	2	7	4
Or5p73	1	0	3	23	0	0	0	0
Or5p78	4	5	16	8	0	0	2	1
Or5p81	10	23	27	11	0	10	15	23
Or5v1	0	0	0	0	0	4	0	5
Or5v1b	4	3	3	6	0	0	2	0
Or5w14	1	4	4	7	0	3	3	11
Or5w19	65	73	102	70	19	39	69	86
Or6a2	13	13	14	14	1	5	2	2
Or6b2	15	27	10	20	10	8	2	34
Or6b2b	4	15	9	2	8	3	22	12
Or6b3	4	4	1	0	0	0	5	1
Or6b9	1	11	2	2	1	2	4	0
Or6c1	26	28	32	18	45	7	15	25
Or6c1b	6	11	3	8	19	3	3	5
Or6c205	18	31	29	16	11	15	66	28
Or6c207	1	1	0	0	2	1	0	0
Or6c208	568	535	609	566	738	125	302	381
Or6c211	0	7	2	0	4	2	0	2
Or6c213	2	4	1	3	0	0	2	4
Or6c2b	72	78	82	78	32	61	56	128
Or6c3	15	15	7	14	8	7	19	21
Or6c38	2	5	3	1	0	1	0	3
Or6c3b	21	28	28	17	32	18	9	15
Or6c5	1	0	0	0	0	0	0	2
Or6c5b	0	0	0	1	0	0	0	1
Or6c5c	2	2	1	1	0	2	9	1
Or6c6	1	1	4	7	1	1	0	7
Or6c65	4	8	6	4	21	11	3	12
Or6c68	7	1	1	1	0	2	2	5
Or6c69	10	9	0	1	2	2	5	3
Or6c69b	2	2	1	1	5	3	0	0
Or6c69c	4	11	13	25	44	1	4	8
Or6c6c	40	62	82	62	49	18	13	95
Or6c7	0	5	2	2	1	0	0	7
Or6c70	8	18	21	11	14	6	7	4
Or6c76	2	5	0	2	0	0	0	0
Or6c8	95	177	130	117	120	77	91	185
Or6c88	0	5	2	2	0	1	0	6
Or6c8b	2	3	1	0	0	1	7	0
Or6d12	0	0	3	0	0	0	0	2
Or6d15	1	2	2	1	0	0	0	0
Or6e1	14	11	6	8	0	4	2	8
Or6f1	2	0	3	0	0	0	0	3
Or6f2	3	3	4	2	0	6	0	4
Or6k14	0	2	0	1	11	0	0	2
Or6k2	5	6	9	0	1	8	1	6
Or6n2	2	1	3	55	0	0	0	0
Or6p1	1	8	3	46	0	4	0	13
Or6s1	3	14	10	8	0	3	2	8
Or6x1	116	212	238	161	101	103	114	183
Or6z1	0	3	5	5	3	0	2	2
Or6z3	136	196	219	148	174	81	154	236
Or6z5	8	15	19	14	2	6	8	18
Or6z7	3	5	6	6	40	4	3	0
Or7a35	19	28	21	34	19	26	46	45
Or7a36	7	15	4	9	0	17	5	28
Or7a41	54	53	85	74	82	55	24	87
Or7c19	0	0	4	2	15	1	3	2
Or7c70	3	7	5	6	3	1	21	7
Or7d10	45	68	80	64	13	37	42	79
Or7d11	9	8	4	0	0	0	3	1
Or7d9	0	7	8	4	1	0	5	3
Or7e168	7	32	11	8	8	2	12	21
Or7e170	0	1	0	0	0	0	0	1
Or7e177	4	28	12	4	49	8	1	21
Or7e178	4	3	26	6	13	8	1	6
Or7g17	0	6	12	5	0	6	3	11
Or7g18	0	0	1	0	0	0	1	0
Or7g19	7	9	6	3	1	7	13	9
Or7g22	3	8	0	2	0	2	2	1
Or7g23	59	77	83	57	10	17	28	58
Or7g25	3	7	2	12	3	2	2	2
Or7g27	3	5	3	0	0	9	1	9
Or7g28	20	56	36	44	79	12	31	37
Or7g29	3	15	8	6	40	4	2	9
Or7g32	21	21	35	30	78	13	8	15
Or7g33	56	53	46	30	22	22	20	50
Or8a1b	3	2	12	2	3	5	5	6
Or8b1	3	20	12	14	4	4	6	28
Or8b12c	0	2	2	1	1	0	0	1
Or8b12i	0	1	0	2	6	1	2	4
Or8b1b	7	8	10	18	17	6	10	8
Or8b1c	26	27	41	21	58	5	5	19
Or8b3	9	25	11	27	0	8	18	22
Or8b39	11	14	31	21	23	5	3	19
Or8b3b	56	77	27	17	62	37	58	59
Or8b40	42	63	43	42	66	28	48	63
Or8b41	5	3	4	4	0	4	4	8
Or8b42	14	23	10	7	12	6	14	22
Or8b44	9	13	11	7	13	3	9	5
Or8b48	1	4	1	8	4	2	9	6
Or8b50	10	30	32	13	7	7	19	18
Or8b51	6	20	8	14	10	2	6	19
Or8b53	18	60	15	32	9	8	10	24
Or8b54	3	0	0	3	26	0	3	0
Or8b55	1	0	4	0	1	0	0	1
Or8b57	0	0	0	1	0	0	0	1
Or8b8	1	7	0	0	0	0	1	4
Or8b9	7	3	2	12	4	3	6	4
Or8c10	11	16	16	7	1	6	12	19
Or8c11	18	26	14	8	5	5	4	22
Or8c15	41	63	39	28	69	48	59	49
Or8c18	3	9	3	0	0	2	0	4
Or8c20	52	42	79	43	35	19	25	35
Or8c8	0	0	1	0	0	0	0	2
Or8d1b	2	1	0	1	0	0	0	2
Or8d2	0	1	0	0	0	1	0	0
Or8d6	0	11	8	10	0	1	3	2
Or8g18	1	9	3	8	2	2	1	7
Or8g20	12	15	13	9	45	5	13	19
Or8g26	1	5	2	3	0	0	0	5
Or8g34	6	7	8	4	0	1	2	1
Or8g37	19	17	25	9	66	10	13	25
Or8g4	11	8	12	1	48	11	1	2
Or8h10	0	1	2	0	0	0	0	0
Or8h7	0	1	6	0	0	0	0	1
Or8i2	1	1	2	0	15	2	2	0
Or8j3b	0	0	0	1	0	2	0	5
Or8j3c	5	7	10	9	6	11	16	8
Or8k17	40	46	37	21	0	16	14	35
Or8k20	0	0	1	12	0	0	2	2
Or8k27	1	0	0	0	0	0	0	1
Or8k3	4	11	6	4	1	0	4	4
Or8k3b	4	6	6	0	1	0	7	4
Or8k40	8	13	5	25	0	2	0	15
Or8k41	40	120	35	32	40	54	17	132
Or8n1	3	1	5	0	0	1	0	2
Or8s10	2	4	7	0	0	0	0	0
Or8s16	14	12	3	5	1	1	2	10
Or8s8	8	10	4	5	1	0	1	8
Or8u3	0	0	1	0	0	1	2	0
Or8u8	1	1	0	1	1	0	0	0
Or8u9	28	11	28	11	7	19	3	24
Or8w1	0	2	0	0	3	1	0	1
Or9a2	228	252	174	155	318	122	127	357
Or9a7	2	2	2	5	1	0	5	0
Or9g20	1	0	0	0	0	0	0	7
Or9g3	3	14	13	10	10	4	1	17
Or9g8	1	1	3	3	0	1	2	0
Or9i1b	3	20	14	7	3	3	6	13
Or9i2	1	5	6	1	0	1	0	1
Or9k2	1	10	6	10	0	4	4	3
Or9k7	1	2	0	0	0	0	0	2
Or9m1	1	0	1	0	0	0	0	0
Or9m1b	16	35	45	32	17	16	5	25
Or9r7	0	2	2	3	0	0	2	0
Or9s13	63	40	123	24	22	7	98	46
Or9s14	3	4	5	12	17	2	8	6
Or9s18	21	18	14	15	23	7	4	12
Orai1	33	96	58	54	88	150	123	127
Orai2	655	2690	773	2284	1136	878	111	2297
Orai3	587	497	601	377	0	323	511	910
Orc1	47	19	78	8	1	71	0	9
Orc2	719	435	494	419	5	568	111	801
Orc3	1004	1264	694	718	808	640	877	1434
Orc4	1064	961	924	573	832	603	865	1440
Orc5	570	751	267	747	8	511	674	736
Orc6	471	353	500	346	741	155	50	312
Orm1	2	8	0	1	213	14	0	7
Orm2	46	72	78	23	0	1	34	17
Orm3	40	27	55	54	0	18	18	29
Ormdl1	1175	1307	542	1670	2210	354	1576	1721
Ormdl2	508	720	402	354	1731	486	1094	844
Ormdl3	645	833	1127	543	440	621	338	1265
Os9	2376	2685	2662	1825	69	791	2183	2890
Osbp	315	197	434	147	315	59	26	216
Osbp2	10	19	4	12	40	22	53	37
Osbpl10	2	7	0	2	0	0	0	0
Osbpl11	426	186	213	220	1195	284	95	550
Osbpl1a	0	4	3	0	0	0	0	0
Osbpl2	635	572	753	255	1029	650	264	943
Osbpl3	4138	1631	4305	1587	5047	370	1827	2025
Osbpl5	497	1044	497	521	3114	120	21	893
Osbpl6	0	5	2	0	0	7	0	15
Osbpl7	728	593	758	335	1825	188	154	572
Osbpl8	197	347	155	58	12	187	103	222
Osbpl9	1693	1467	1442	1008	543	708	777	1838
Oscar	0	0	0	1	0	0	0	1
Oscp1	41	35	58	32	118	28	13	60
Oser1	1555	2225	2126	1120	2220	1124	1389	2499
Osgep	959	1270	784	1098	1391	482	799	1351
Osgepl1	151	423	303	272	1620	157	443	316
Osgin1	1579	94	2111	0	60	119	1087	82
Osgin2	445	709	208	343	0	200	350	599
Osm	67	265	60	20	0	198	95	141
Osmr	3	2	7	3	2	1	2	4
Osr1	1	2	9	4	2	1	0	6
Osr2	25	70	0	53	0	15	0	16
Ost4	1041	1114	1325	823	1388	522	1755	1491
Ostc	1550	2085	1490	1213	2132	1222	1483	2585
Ostf1	3624	5617	3450	3232	4045	2127	3973	5731
Ostm1	2296	1788	2166	1372	1257	682	627	2387
Ostn	0	6	1	1	0	0	4	1
Otoa	20	32	19	5	1	18	11	26
Otog	12	29	24	34	0	5	22	16
Otol1	1	0	1	0	0	1	4	2
Otos	47	21	3	0	0	0	178	10
Otp	5	3	3	0	1	2	3	7
Otub1	3365	3221	2839	1804	5033	1703	2639	3943
Otub2	154	324	17	165	721	255	139	172
Otud1	31	54	3	39	0	26	0	66
Otud3	3	39	31	0	307	28	5	22
Otud4	536	767	564	444	23	304	220	598
Otud5	522	707	989	418	1266	563	985	681
Otud6b	354	456	275	44	1007	318	107	460
Otud7a	1	0	5	1	0	0	3	1
Otud7b	213	101	366	231	0	145	103	267
Otulin	192	328	344	86	525	185	75	237
Otulinl	3998	3434	1200	1254	4557	2390	3959	2916
Otx1	0	13	0	54	0	0	0	0
Ovca2	646	673	806	635	0	529	388	493
Ovgp1	5	58	13	2	6	9	24	23
Ovol1	11	11	12	16	0	0	49	1
Oxa1l	614	1015	776	760	64	364	488	1005
Oxct1	598	615	909	705	3	390	343	918
Oxld1	27	109	36	61	0	47	56	54
Oxnad1	105	171	91	73	0	95	24	118
Oxr1	755	1020	446	361	87	353	139	863
Oxsm	47	95	112	129	17	110	14	32
Oxsr1	406	705	414	895	0	248	210	550
Oxtr	6	4	5	3	0	0	2	6
P2rx1	0	4	15	14	0	0	0	0
P2rx4	277	648	277	629	184	484	153	660
P2rx5	3	0	0	2	0	0	0	0
P2rx7	0	1314	5	1862	5	464	0	2351
P2ry1	54	58	74	35	10	23	44	65
P2ry10	792	979	898	1368	4	470	82	720
P2ry10b	110	54	7	96	10	82	10	61
P2ry12	14	11	0	25	0	0	0	0
P2ry14	117	51	247	2	5	7	4	89
P2ry4	6	4	13	8	1	2	8	8
P3h1	57	101	122	216	3	115	0	158
P3h2	10	67	5	12	21	11	8	68
P3h3	13	10	33	3	10	7	10	17
P3h4	10	0	0	0	0	0	0	1
P4ha1	318	386	320	222	1022	257	105	769
P4ha2	4	12	14	4	11	7	6	7
P4ha3	2	12	86	6	17	5	12	7
P4hb	4870	5032	4440	4019	4686	1993	1996	5119
P4htm	199	291	135	326	6	106	232	282
Pa2g4	544	885	514	764	1462	421	189	980
Pabir1	61	24	64	38	0	82	64	36
Pabir2	83	80	124	71	0	59	21	86
Pabpc1	3765	6644	4394	3637	4039	2883	3466	5954
Pabpc1l	20	4	17	4	0	0	8	10
Pabpc4	504	362	522	249	0	110	524	491
Pabpc4l	0	1	0	0	0	1	1	1
Pabpn1	305	279	412	184	0	101	503	421
Pacc1	217	324	236	389	1158	157	177	632
Pacs1	916	818	1001	140	3215	619	175	869
Pacs2	228	328	181	12	124	29	295	196
Pacsin1	648	830	918	752	2	230	988	1066
Pacsin2	912	413	783	548	2617	280	438	505
Padi1	6	5	20	0	0	0	0	22
Padi2	1526	609	1723	365	800	225	843	643
Padi3	9	3	10	9	13	0	2	11
Padi4	0	0	0	11	0	0	0	25
Padi6	0	10	0	0	0	0	0	11
Paf1	1640	1684	1533	1318	1248	717	1291	1818
Pafah1b1	722	1224	1123	962	440	833	1703	1370
Pafah1b2	1540	2023	1617	850	1827	541	882	1510
Pafah1b3	152	150	108	70	0	100	65	192
Pafah2	0	80	1	20	0	0	0	3
Pag1	92	96	20	63	12	114	1	90
Pagr1a	66	3	21	0	0	8	315	291
Paics	1901	1979	1169	1099	1725	1435	1614	2866
Paip1	1090	1159	725	538	2388	949	1387	1636
Paip2	4120	5118	3276	3505	6331	3132	5789	7699
Paip2b	501	713	371	230	39	81	210	509
Pak1	0	28	2	0	0	0	0	7
Pak1ip1	873	996	1120	577	1011	706	1549	1276
Pak2	2423	2205	2145	1621	1666	1569	1183	3125
Pak3	0	0	4	0	0	0	0	1
Pak4	231	124	183	85	726	248	245	226
Pak6	176	116	178	105	2	190	130	200
Pakap	44	89	37	33	26	10	4	58
Palb2	14	84	139	76	16	151	48	83
Pald1	0	28	23	0	0	0	132	18
Palld	2	3	3	2	5	2	4	6
Palm	8	112	20	53	0	29	8	138
Palm3	31	80	40	28	0	0	5	66
Palmd	0	5	3	0	0	0	3	0
Pals1	54	86	93	101	0	1	1	151
Pals2	51	56	50	17	0	5	139	35
Pam	7	19	19	14	6	20	9	25
Pam16	131	284	180	151	65	43	127	235
Pam16l	128	6	95	102	4	144	203	134
Pan2	786	781	739	898	2550	469	252	902
Pan3	2008	3283	1548	1718	4981	1260	1909	3021
Pank1	64	62	13	77	15	8	4	68
Pank2	286	454	212	212	281	290	332	401
Pank3	67	123	249	138	20	92	46	291
Pank4	545	1388	550	849	167	708	512	1168
Panx1	2029	1079	901	673	2041	516	1688	1553
Paox	86	124	41	29	8	25	21	72
Papln	0	2	26	0	0	3	6	0
Papola	2107	2273	1785	1919	1751	702	1123	2765
Papolg	776	799	493	701	1345	306	147	1013
Pappa2	8	8	27	1	1	3	0	14
Papss1	413	342	66	206	1103	82	45	414
Papss2	18	16	20	17	16	7	5	22
Paqr3	50	63	45	82	103	4	148	41
Paqr4	256	61	64	0	1	49	0	68
Paqr5	25	8	6	11	0	0	5	7
Paqr6	4	11	8	8	6	2	2	14
Paqr7	336	647	360	406	21	105	385	547
Paqr8	0	66	0	2	0	0	1	23
Paqr9	0	0	0	0	0	0	1	2
Pard3	1	0	1	0	2	0	0	2
Pard3b	12	37	8	7	12	6	11	14
Pard6a	160	268	197	222	3	103	57	191
Pard6b	2	8	1	1	0	0	2	2
Parg	467	477	518	353	0	357	172	731
Park7	2325	3067	2005	1981	3003	1439	1697	3763
Parl	914	1283	988	771	936	618	562	1278
Parn	913	1098	563	787	1209	723	203	1140
Parp1	1026	1227	830	454	527	649	213	1559
Parp10	1723	1823	1926	1220	2133	399	391	1589
Parp11	494	813	249	106	1093	609	445	1241
Parp12	341	349	187	125	2	334	106	341
Parp14	1294	2618	1648	1186	3383	558	1166	2850
Parp16	402	283	277	385	99	154	314	203
Parp2	963	1585	971	1251	4608	802	827	1706
Parp3	474	1329	459	1313	0	811	762	1828
Parp4	752	692	428	410	651	312	365	695
Parp6	446	656	588	551	447	360	29	565
Parp8	194	709	141	352	10	463	183	1153
Parp9	1174	2716	1046	1989	976	1388	177	3068
Parpbp	31	39	0	0	878	37	0	11
Pars2	215	302	348	140	877	68	59	383
Parva	11	17	22	5	35	3	12	13
Parvb	7	6	8	2	2	20	0	6
Parvg	2219	2474	1863	2140	2337	1140	1141	3532
Pask	40	73	19	1	0	41	2	43
Pate13	1	0	1	6	0	0	0	1
Pate14	1	0	0	9	0	0	0	1
Pate2	1	5	3	0	0	0	0	3
Pate9	13	32	17	9	27	9	4	25
Patj	142	505	158	468	14	167	17	584
Patl1	225	276	231	114	0	167	115	461
Patz1	274	455	320	400	1248	152	151	580
Pawr	5	23	0	0	0	0	0	2
Pax1	12	15	5	3	12	6	5	5
Pax3	7	11	27	7	12	4	9	13
Pax5	0	0	0	0	19	60	0	0
Pax6	32	76	40	43	34	12	22	41
Pax8	2	4	1	2	4	1	1	4
Pax9	33	26	28	1	0	0	69	0
Paxbp1	1114	1728	1125	448	3885	1390	577	3054
Paxip1	603	294	682	279	25	345	377	481
Paxx	360	380	335	282	0	124	332	407
Pbdc1	359	607	377	369	179	203	607	499
Pbk	27	23	43	0	0	0	65	27
Pbld1	9	25	24	7	3	11	18	11
Pbld2	6	0	3	6	0	6	0	15
Pbrm1	696	894	852	569	1798	209	374	1260
Pbx1	18	36	20	17	42	4	11	23
Pbx2	10	59	33	0	1	14	9	53
Pbx3	136	86	69	13	103	0	111	26
Pbx4	80	95	148	155	167	49	355	104
Pbxip1	2533	3740	3724	2453	2338	949	1997	4251
Pcbd1	5	16	0	38	0	0	0	0
Pcbd2	155	185	33	76	0	147	189	157
Pcbp1	444	722	529	358	209	429	532	506
Pcbp2	1047	1919	831	947	2421	864	1294	1457
Pcbp3	41	100	0	105	0	0	0	132
Pcbp4	45	76	49	11	0	0	62	42
Pcca	147	414	469	541	699	355	255	482
Pccb	96	242	188	15	1119	94	44	112
Pcdh10	4	6	3	2	14	1	3	3
Pcdh15	4	7	13	0	23	1	3	11
Pcdh17	3	5	3	6	1	4	4	6
Pcdha11	0	1	3	0	1	4	2	0
Pcdhb13	4	9	13	8	2	3	5	4
Pcdhb14	3	6	14	5	0	3	0	3
Pcdhb16	0	2	0	0	0	0	2	0
Pcdhb22	8	8	1	1	13	4	13	9
Pcdhb4	2	0	2	0	0	0	0	0
Pcdhb5	0	2	7	5	0	0	2	1
Pcdhga11	8	45	0	26	0	0	0	5
Pcdhga12	8	22	87	109	11	69	13	7
Pcdhga4	0	0	0	5	0	0	1	0
Pcdhga5	0	7	0	32	0	0	0	0
Pcdhga9	0	0	3	2	0	0	0	30
Pcdhgb2	0	0	0	0	1	0	1	0
Pcdhgb4	28	49	45	18	40	10	28	28
Pcdhgb5	2	22	2	16	2	7	0	0
Pcdhgb6	58	0	1	23	0	0	0	0
Pcdhgb7	51	110	0	0	0	0	0	27
Pcdhgc3	80	13	37	32	0	25	0	11
