gene	D1_D_progenitor	D2_D_progenitor	K1_K_progenitor	K2_K_progenitor	W1_W_progenitor	W2_W_progenitor	D1_D_effector-like	D2_D_effector-like	K1_K_effector-like	K2_K_effector-like	W1_W_effector-like	W2_W_effector-like	D1_D_transitory	D2_D_transitory	K1_K_transitory	K2_K_transitory	W1_W_transitory	W2_W_transitory	D1_D_terminal	D2_D_terminal	K1_K_terminal	K2_K_terminal	W1_W_terminal	W2_W_terminal
Otud4	68.62199131337304	52.515502639454795	69.74714142974095	43.97726573169192	76.29158408244118	83.23024912913374	0	0	0	0	0	0	44.99013571327972	35.60709654255999	53.85331849596411	39.136674541481064	41.73445640501926	43.12253907355438	38.936385985659555	37.54264041645682	46.24447214476398	29.502415773181326	41.91525376198121	41.835249357263535
Abce1	50.25835983514646	60.753228543682994	48.22024592673448	56.54219879788962	54.328855331435385	66.74123750921102	0	0	0	0	0	0	18.895856999577482	25.59260063996499	28.92122659968443	25.32373058566422	19.91871782966828	23.35804199817529	0	0	0	0	0	0
Anapc10	55.09089443467977	54.574934115511844	68.88606560962069	47.74674565155123	58.952587700068186	44.75588868264739	35.56516992298701	29.357662354550893	41.8829659407651	34.74673623588789	34.7113456184291	35.972471427447545	52.188557427404476	41.17070537733498	36.899496006493926	47.194225182374225	43.631477150701954	29.646745613068635	0	0	0	0	0	0
Smarca5	209.73200161974577	209.03229481979065	238.51800217331163	267.63307431001084	211.53575586495054	230.060971649398	88.25431054963444	101.12083699900863	130.05763107921794	128.0665421265582	109.23864650505628	108.73497045114827	119.67376099732407	151.33016030587993	160.56267181204115	193.38121538143585	159.34974263734625	134.75793460485744	120.27017004459285	169.5107097591535	173.96729997315973	163.90230985100737	143.58203948253137	164.55198080523658
Usp38	50.25835983514646	54.574934115511844	49.942397566974996	45.233759038311696	61.26445388438459	49.46703485976817	0	0	0	0	0	0	30.593292285030213	26.70532240691999	34.904928654791554	34.532359889542114	43.631477150701954	35.93544922796198	0	0	0	0	0	0
Inpp4b	151.74158642534604	163.72480234653554	157.57687508200732	150.7791967943723	172.23403073157175	157.03820590402594	25.027341797657527	26.095699870711904	27.554582855766512	25.81186120380243	28.585814038706317	13.080898700890017	39.59131942768616	52.297923046884975	44.87776541330343	50.64746117132844	46.47700826922599	51.20801514984583	71.8160008179943	69.39700198193533	60.55823733242902	65.56092394040294	73.12874060600977	57.63967689222976
Zfp330	81.18658127215966	96.79327937468138	90.41296111262714	70.36362517070708	70.51191862165018	77.73391192249284	56.64082617364598	68.50121216061875	67.23318216807029	56.587541869874556	56.150706147458834	55.59381947878257	68.38500628418518	63.425140716434974	61.831587902773606	62.15824780117581	75.88082982730774	67.37896730242872	52.780434336116286	46.643886578022105	51.74976644771207	52.448739152322354	60.64334586839835	42.76492156520273
Scoc	20.296645318039914	18.534883284513455	26.693350423728017	31.41233266549423	33.522059672587794	30.622450151285058	0	0	0	0	0	0	28.793686856499022	26.70532240691999	23.934808220428494	33.38128122655738	22.76424894819232	21.56126953677719	0	0	0	0	0	0
Ndufb7	399.16735792145164	396.44055914098226	367.6793751913504	380.7174719057901	351.4036600160927	328.9950413689343	287.15581641522846	253.61758311848132	264.5239954153585	254.14755646820853	247.0631070488189	253.4424123297441	433.7049082760165	465.1176985871898	415.8672928299451	397.12213872973433	386.9922321192695	418.6479835057571	299.3775455786268	312.8553368038068	302.7911866621451	304.8582963228737	286.2722650552334	301.21379537229745
Tecr	188.4688493817992	230.65632531838966	209.24142428922283	221.14282196507938	180.32556237667916	193.94218429147202	158.0674218799423	159.8361617081104	160.9187638776764	145.93629219072912	125.57339738431703	141.4372172033733	229.4496921377266	206.96624865362992	206.43772090119575	240.57544056381008	199.18717829668282	225.49494390546144	149.6887727893134	193.40148093326238	148.6429461795985	177.01449463908796	121.2866917367967	173.84870288462847
Dnajb1	311.21522820994534	259.4883659831884	298.7933095817297	296.53242036226555	271.64427665717693	317.21717592613237	270.03184571156805	205.50363648185626	224.84539610305472	224.36463969459035	186.82871318154486	240.36151362885408	241.1471274231793	237.0097363614149	293.20140070024905	268.20132847544374	194.4446264324761	244.36105475014148	305.43431673195164	245.7336463622628	268.65836198386694	238.20469031679738	229.19617482615257	185.00476937989876
Pkn1	107.28226810963955	106.0607210169381	109.35662915527284	101.77595783620131	115.59330921581997	105.21559795569738	89.57153906530063	62.79277781390052	71.64191542499293	67.50794468686789	64.31808158708921	65.40449350445009	87.28086328376267	81.22868898771496	68.81257363373192	104.74815833161108	92.00550616561064	85.34669191640971	104.69561565032903	95.56308469643554	86.98364998657986	105.9901603703181	116.82762218764975	97.61558183361491
Ddx39	151.74158642534604	147.2493505380791	123.13384227719698	119.36686412887808	141.02383724330036	119.3490364870597	71.13033984597402	82.36455271693445	83.7659318815302	74.45729193404547	64.31808158708921	69.49227434847822	121.47336642585525	130.18844673373493	84.76911244735092	123.16541693936688	109.07869287675489	100.61925783829355	99.50409751890776	96.70074046663119	73.77094365950444	88.50724731954398	79.37143797481548	79.02213767483113
Adgre5	189.43535630170587	162.695086608507	187.71452878621636	197.26944913930376	166.45436527078076	180.59393678962982	304.2797871188889	318.8568327952611	289.8742116426637	266.0607231776558	311.3811886359081	336.83314154791793	299.63430385044296	312.67481651435486	294.19868437610023	268.20132847544374	287.39864297092805	327.01258797445405	220.63952058540414	219.5675636477626	187.18000630023516	206.51691041226928	215.81896617871178	225.9103465292231
Prkaca	44.45931831570648	37.06976656902691	41.33163936577241	33.92531927873377	43.92545750201159	33.76321426936558	0	0	0	0	0	0	35.99210857062378	28.93076594082999	24.93209189627968	34.532359889542114	33.197863049447136	33.24029053586484	0	0	0	0	0	0
Il27ra	191.3683701415192	193.58655874936275	181.68699804537457	177.16555623338746	191.88489329826115	195.5125663505123	81.66816797130352	90.51945892653193	74.9484653676849	89.34875032085456	65.33900351704301	86.66095389339637	137.66981528263597	100.14495902594996	103.71750228852348	103.59707966862635	112.87273436812026	99.7208716075945	94.31257938748648	87.5994943050659	81.47835568363178	99.4340679762778	89.18139098293875	93.89689300185816
Rfx1	29.96171451710654	32.95090361691281	22.387971323126724	23.873372825775615	27.742394211796793	32.97802323984545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dcaf15	91.81815739113294	76.19896461411088	81.80220291142456	79.15907831704546	75.13565099028298	86.37101324721426	43.468541016984126	51.375909120464065	41.8829659407651	54.602014084966676	34.7113456184291	43.330476946698184	52.188557427404476	63.425140716434974	52.856034820112924	63.30932646416055	64.49870535321158	53.00478761124393	57.97195246753756	47.78154234821777	42.94129556299512	53.54142121799574	56.18427631925141	61.35836572398652
Podnl1	28.99520759719988	35.01033509296986	55.108852487696545	37.694799198593074	28.898327303954993	29.0520680922448	0	0	0	0	0	0	40.49112214195175	43.39614891124498	43.880481737452236	42.589910530435276	22.76424894819232	45.81769776565153	19.035566481878003	31.854361565478513	33.03176581768856	28.409733707507943	19.619906016246524	26.030821822297312
Cc2d1a	27.062193757386552	35.01033509296986	30.13765370420905	31.41233266549423	20.806795658847594	29.0520680922448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
