gene	PC1	PC2	PC3	PC4	PC5	PC6	cluster_id
Rps21	-0.08098562241313896	-0.026732615820301325	0.02503305947702235	0.0026809601167630363	-0.00456910123362407	0.00386754366460073	progenitor
Gm9843	-0.08073469769687583	-0.029624404829301062	0.006286562819510065	0.01588354148615286	-0.01102572720916871	-0.008140070751150082	progenitor
C2cd4b	0.07503093836453187	-0.045535198585209415	9.634519678599586e-4	0.015485503795329978	-0.004520885405288384	0.011449643892832088	progenitor
Cd7	0.07418831057546858	-0.016569357233795247	-0.026654101350748388	0.049723687494372386	-0.0021175694917629877	-0.01716840651386583	progenitor
Car2	0.07047919878404336	-0.02731777856181457	0.04641516475692113	0.038687381362047045	-0.010418608430606066	-0.0045195319641458875	progenitor
Ccl3	0.04277213741589598	0.05563284349026096	0.012238398158396226	-0.060376020911636755	-0.09041698005294897	0.00471047644703432	progenitor
Penk	0.06874854872647156	-0.024974420677054333	0.001691624469312894	0.06373406758943677	-0.030167059006140022	-2.7130630423398487e-4	progenitor
Rpl35	-0.07437975788555592	-0.017612409154379532	-0.021338268422627257	-0.0016339479594416895	-0.014039377444114182	-0.03133791101030721	progenitor
Rpl39	-0.07379729870927479	-0.014664708191928203	0.01767886042326312	0.0022262047417614442	-0.012356904163701828	0.026255551382333688	progenitor
Rpl37	-0.07270249678484117	-0.018477201689522344	0.023002771435524563	0.0033542600942967097	-0.00493378611598661	-0.019520893694837057	progenitor
Rpl36	-0.07282292851067239	-0.02084290064095018	0.016612473842731856	-0.0015173895369575946	-0.009532761155479384	-0.0075299003162398685	progenitor
Cxcl10	0.05731827049998051	0.062027752737045326	0.02674119430410489	-0.007944419131201608	-0.002534298763293518	-0.012173106177930385	progenitor
Rpl37a	-0.07155272878824252	-0.01968837957964154	0.019491303156742766	0.004304257825496516	-0.006193002237019676	0.0037907362188613772	progenitor
Ctla4	0.05593374168575271	-0.059907041817708916	0.025382433534436276	-0.00962100107047557	0.025956242457557618	0.0019776101945575527	progenitor
Rpl9-ps6	-0.0590839983801227	-0.02691665970310231	-0.04615354783749607	0.03508847522201278	-0.038291391255518316	0.012386690319267464	progenitor
Dusp1	0.06052353546020755	-0.05110506421770359	0.018759319705820846	-0.00531171875491396	0.02219491969061427	0.030534815980042276	progenitor
Rplp1	-0.06737696554897626	-0.032802302020073136	0.01029683912753567	-0.0021305867817322938	2.856723793144814e-4	-0.008768019348861983	progenitor
Rpl21	-0.06655032846416514	-0.012307059827304262	0.03912124071027174	0.003964239509189068	-0.007825628508252072	0.026020362074431327	progenitor
Gm11808	-0.06559149355831316	-0.025747026988564244	-0.01857549214799306	0.02546172527073064	-0.011849810379869534	-0.01513965838427466	progenitor
Rps2	-0.06642319302101	-0.00961049734130701	0.0330688630362862	0.011310870379083411	-0.006400731784929469	0.014316965668523706	progenitor
Rpl10-ps3	-0.06320828838873292	-0.027585045467943648	-0.03391460452969934	-0.0024954127916526083	0.003109887794982433	0.0018873272371979588	progenitor
Ikzf2	0.06703576334646931	-0.0201573523729274	0.00736621008523902	0.007912145320405897	0.010858881327243709	0.007450210025815778	progenitor
Rpl41	-0.0653726869640485	-0.01883903110618302	0.01664846586323177	-0.002560867315308042	-0.01179746587818677	0.01427181798238407	progenitor
Tbc1d4	0.05892225988823027	-0.0343735929337335	0.03490326589078578	-0.009373396187303904	0.0038333038626321893	-0.014509336297280349	progenitor
Gapdh	-0.06020112084147753	-0.008109544979349159	0.03961183033818366	0.0011544092664076873	-0.025720507557802915	-0.007918733288189496	progenitor
Cox17	-0.059986493062925646	-0.02394380485877064	0.03175549094827383	-0.0012121179118314699	0.009916270095033122	-0.008910014494509053	progenitor
Vim	-0.04865951082929952	0.030982835844058452	-0.05109709508275121	0.035634353778115045	-0.0010706847876812634	0.024436123402301255	progenitor
Rpl9	-0.024946395086830945	-0.024648112261685087	-0.09147974875694166	-0.014795901098242008	0.014946505353663306	0.022818894974604185	progenitor
Rplp2	-0.05942968517828992	-0.028893749652627098	0.0061573962371328315	0.0012225606546776597	-0.008683401133042687	-0.02055764168643517	progenitor
